,time_index,service,rate,error_rate,duration
0,0,Product DB,861,0.009005708162242798,0.3200698233330586
1,0,Customer DB,901,0.003893304136052148,0.27433214225793906
2,0,Order DB,893,0.008506356010845876,0.14213849204985304
3,0,Shipping Cost Service,899,0.02388777340904407,0.4591902668236669
4,0,Caching Service,861,0.009005708162242798,2.4744714811959585
5,0,Product Service,901,0.03644443261569641,2.684022088585129
6,0,Auth Service,901,0.01356378047001138,0.5269182817411566
7,0,Order Service,893,0.008506356010845876,0.7307517556842399
8,0,API,901,0.05759906204756604,4.756527461314391
9,0,www,901,0.05759906204756604,5.082168045928516
10,0,Website,901,0.05759906204756604,5.148393999573469
11,1,Product DB,834,0.0026275047604549704,0.11080371431365499
12,1,Customer DB,911,0.0013837354019034201,0.1962957755407291
13,1,Order DB,885,0.0007959734352689191,0.43588143127831414
14,1,Shipping Cost Service,892,0.018845804147724004,0.17720126596736197
15,1,Caching Service,834,0.08672323355194135,2.2994318496493933
16,1,Product Service,911,0.10517458594652984,2.725619013885476
17,1,Auth Service,911,0.0055546967348700845,0.3787945394426738
18,1,Order Service,885,0.0017770892750749012,1.092460778632935
19,1,API,911,0.11172642140516731,4.855020351952501
20,1,www,911,0.11172642140516731,4.877680492632922
21,1,Website,911,0.11172642140516731,4.927190287423399
22,2,Product DB,870,0.012471889902048727,0.1557216022416679
23,2,Customer DB,908,0.0013092208847731183,0.190422214689984
24,2,Order DB,917,0.0077354484940889675,0.04675977713939283
25,2,Shipping Cost Service,849,0.0009786612647855921,0.16971679236760717
26,2,Caching Service,870,0.012471889902048727,2.3532106254046266
27,2,Product Service,908,0.014729972533592428,2.5493627559810728
28,2,Auth Service,908,0.014614688707125735,0.408958027117829
29,2,Order Service,917,0.014531306714755247,0.5779079147126118
30,2,API,908,0.043237405931288664,4.276832626773488
31,2,www,908,0.043237405931288664,4.488467136777404
32,2,Website,908,0.043237405931288664,4.726826338596251
33,3,Product DB,915,0.022412289393155847,0.4825453973163685
34,3,Customer DB,838,0.027841107966341008,0.18117253371654213
35,3,Order DB,860,0.005352888671578551,0.14823147522553498
36,3,Shipping Cost Service,878,0.013460923054565817,0.10935999837871213
37,3,Caching Service,915,0.022412289393155847,2.6222922589737907
38,3,Product Service,838,0.062422279716938145,3.008673438664294
39,3,Auth Service,838,0.027841107966341008,0.5569092408476928
40,3,Order Service,860,0.01814127921374019,0.9433084626292865
41,3,API,838,0.10506079597681084,5.132991132181986
42,3,www,838,0.10506079597681084,5.259846342197948
43,3,Website,838,0.10506079597681084,5.487683374248629
44,4,Product DB,948,0.002087118866354819,0.07093659457868194
45,4,Customer DB,877,0.00535594703898052,0.11839720696045138
46,4,Order DB,900,0.013114705837741662,0.484647190545617
47,4,Shipping Cost Service,928,0.005780652003845749,0.4177492435377753
48,4,Caching Service,948,0.0709054695966886,2.26771960809917
49,4,Product Service,877,0.08122365728343162,2.483134716280654
50,4,Auth Service,877,0.007568604514480614,0.5183229685499685
51,4,Order Service,900,0.013114705837741662,1.1170753280917436
52,4,API,877,0.10013579576430198,4.881327131666536
53,4,www,877,0.10013579576430198,5.406206944876206
54,4,Website,877,0.10013579576430198,5.601802300791873
55,5,Product DB,865,0.007936868535894136,0.14425170095142348
56,5,Customer DB,853,0.017283187202030294,0.13468418330678714
57,5,Order DB,870,0.01220517210035614,0.006172675567230744
58,5,Shipping Cost Service,893,0.011229533841657919,0.17493203216852712
59,5,Caching Service,865,0.1026494966700103,2.2579634375389572
60,5,Product Service,853,0.12806124154782417,2.6784104238903694
61,5,Auth Service,853,0.017283187202030294,0.4693491701978919
62,5,Order Service,870,0.012213227534664244,0.6537482111213269
63,5,API,853,0.15359625690910683,4.5072189565545395
64,5,www,853,0.15359625690910683,4.649512657472187
65,5,Website,853,0.15359625690910683,4.919910899694017
66,6,Product DB,895,0.000752600876139064,0.10054614509544176
67,6,Customer DB,883,0.005609115671431774,0.055711552623035336
68,6,Order DB,902,0.002536819099338082,0.03665196367112331
69,6,Shipping Cost Service,905,0.029257783694228972,0.4928054576018488
70,6,Caching Service,895,0.10569061153171092,2.242286526867192
71,6,Product Service,883,0.13672564160539868,2.4983330590034374
